Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
27253096,HIV_0000000001,COUNTRY,AUT,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253099,HIV_0000000001,COUNTRY,BHR,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253100,HIV_0000000001,COUNTRY,BGD,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253101,HIV_0000000001,COUNTRY,BRB,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253103,HIV_0000000001,COUNTRY,BEL,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253108,HIV_0000000001,COUNTRY,BIH,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253111,HIV_0000000001,COUNTRY,BRN,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253112,HIV_0000000001,COUNTRY,BGR,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253117,HIV_0000000001,COUNTRY,CAN,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253122,HIV_0000000001,COUNTRY,CHN,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253130,HIV_0000000001,COUNTRY,CYP,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253131,HIV_0000000001,COUNTRY,CZE,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253132,HIV_0000000001,COUNTRY,PRK,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253146,HIV_0000000001,COUNTRY,FIN,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253147,HIV_0000000001,COUNTRY,FRA,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
27253160,HIV_0000000001,COUNTRY,HUN,YEAR,2020,,,,,,,,,No data,,,,,10/11/2021 8:38,2020,1/1/2020 0:00,12/31/2020 0:00
